Uçak sayısı;Koltuk kapasitesi;İç hat taşınan yük (kargo+posta+bagaj) (ton);Dış hat taşınan yük (kargo+posta+bagaj) (ton);İç hat uçak trafiği (adet);Dış hat uçak trafiği (adet);İç hat yolcu sayısı;Dış hat yolcu sayısı
138;25114;181198;698935;157415;218626;8700839;25054613
138;27124;188936;742255;156301;218505;9128124;25296216
142;34287;262647;860461;195935;252786;14438292;30596297
202;38600;315858;933697;264805;286867;20502516;35042957
245;42894;373055;973934;343956;286713;28799878;32884325
250;40017;414192;1131833;365136;323432;31970874;38381993
262;43524;424555;1219459;385764;356001;35832776;43605513
299;47972;484833;1241512;419422;369047;41226959;44281549
332;57899;554710;1466366;497862;421549;50575426;52224966
349;61695;617834;1631639;579488;462881;58258324;59362145
370;65208;633074;1616059;600818;492229;64721316;65630304
385;66639;744027;1851289;682685;541110;76148526;73281895
422;76297;810858;2082142;754263;591691;85416166;80304068
489;90259;871327;2201504;832958;623715;97041210;84033321
540;100365;857335;2219579;886228;566767;102499358;71244179
517;97500;884810;2596401;909332;591125;109511390;83533953
515;97351;886025;2969206;892405;651764;112911108;97587056
546;103763;833769;3256399;839894;716523;99946572;108427124
554;105336;500550;1989971;572994;280756;49740303;31875837
558;104464;698343,83;2734173;738352;466266;68466177;59689585
598;113054;784022;3379120;786150;702476;78323824;103465515
668;130196;838757;3609108;869404;816473;90390766;123302397
